,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Migration Route,UNSD Geographical Grouping,Source Quality,Latitude,Longitude
0,51591,Mediterranean,28-Mar-19,2019,Mar,,2.0,2,36.0,,2.0,,Presumed drowning,"Off the coast of Chios, Greece",Hellenic Coast Guard via IOM Greece,Eastern Mediterranean,Uncategorized,5,38.362368696592, 26.172509473654
1,51588,Mediterranean,26-Mar-19,2019,Mar,4.0,,4,11.0,3.0,,1.0,Presumed drowning,"Off the coast of Ayvacık district, Çanakkale province, Turkey",Turkish Coast Guard via IOM Turkey,Eastern Mediterranean,Uncategorized,5,39.441975591614, 26.378816195919
2,51589,Mediterranean,26-Mar-19,2019,Mar,1.0,,1,,,,,Presumed drowning,"Body recovered on Playa del Tarajal, Ceuta, Spain (Strait of Gibraltar)","Ceuta al día, El Pueblo de Ceuta",Western Mediterranean,Uncategorized,3,35.871901875921, -5.343037665842
3,51590,Mediterranean,26-Mar-19,2019,Mar,1.0,,1,,,,,Presumed drowning,"Body recovered on beach near Tetouan, Morocco (Strait of Gibraltar)",El Pueblo de Ceuta,Western Mediterranean,Uncategorized,1,35.635115912988, -5.275650103548
4,51587,Central America,25-Mar-19,2019,Mar,1.0,,1,,,1.0,,Fall from train,"Train tracks in Teacalco, Tlaxcala, Mexico","Megalópolis, Línea de contraste",,Central America,3,19.334475177429, -98.069823987538
5,51580,US-Mexico Border,23-Mar-19,2019,Mar,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057499000000, -111.666072500000
6,51581,US-Mexico Border,23-Mar-19,2019,Mar,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057499000000, -111.666072500000
7,51585,Southeast Asia,23-Mar-19,2019,Mar,8.0,2.0,10,,1.0,,,Vehicle Accident,"Sa Setthi intersection in Tambon Ban Mai, Tha Muang district, Kanchanaburi, Thailand - en route to Myanmar","The Nation, Vietnam+",,South-eastern Asia,3,13.865704814542, 99.587248723929
8,51586,Mediterranean,23-Mar-19,2019,Mar,4.0,4.0,8,,3.0,5.0,,Presumed drowning,"Off the coast of Sfax, Tunisia","Shems FM, Tunisie Numérique, Kapitalis",Central Mediterranean,Uncategorized,3,35.317034468315, 11.078928258810
9,51578,US-Mexico Border,21-Mar-19,2019,Mar,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057499000000, -111.666072500000
10,51579,US-Mexico Border,21-Mar-19,2019,Mar,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057499000000, -111.666072500000
11,51584,Central America,20-Mar-19,2019,Mar,1.0,,1,,,1.0,,Violence,"Town of Nueva Patria (Santo Domingo), Municipality of Durango, State of Durango, Mexico",Notiver,,Central America,1,24.057148900000, -105.457669800000
12,51548,Mediterranean,19-Mar-19,2019,Mar,1.0,3.0,4,15.0,,,1.0,Presumed drowning,"Between Sabratha and Surman, Libya",IOM Libya,Central Mediterranean,Uncategorized,3,32.816243467052, 12.530851413107
13,51546,Mediterranean,18-Mar-19,2019,Mar,3.0,,3,52.0,,,,Presumed drowning,"Unspecified location in the Alboran Sea, off the coast of Nador, Morocco","Caminando Fronteras, Huffington Post Maghreb",Western Mediterranean,Uncategorized,4,35.267895220573, -2.799562392362
14,51545,Central America,17-Mar-19,2019,Mar,1.0,,1,,,1.0,,Hit by train,"Train tracks near Avenida Vergel, sector centro, Gómez Palacio, Durango, Mexico",Milenio,,Central America,1,25.563914159609, -103.492111622910
15,51547,North Africa,17-Mar-19,2019,Mar,,19.0,19,1.0,,,,Presumed drowning,"Off the coast of Sidi Warzeg, Sidi Ifni, near Agadir, Morocco",Hams News,Western African,Uncategorized,1,29.425766218075, -10.453333285156
16,51577,US-Mexico Border,15-Mar-19,2019,Mar,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.331803200000, -112.524509300000
17,51544,Mediterranean,14-Mar-19,2019,Mar,1.0,44.0,45,22.0,3.0,,1.0,Drowning,"Unspecified location in the Alboran Sea, off the coast of Nador, Morocco","Caminando Fronteras, Alarm Phone, AP, Association Marocaine des Droits Humains - Section Nador",Western Mediterranean,Uncategorized,4,35.298258842764, -2.688431354400
18,51576,US-Mexico Border,13-Mar-19,2019,Mar,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,31.794415600000, -112.446447300000
19,51534,Caribbean,11-Mar-19,2019,Mar,1.0,,1,15.0,,1.0,,Presumed drowning,"Near Isla Catalina, Dominican Republic","Listin Diario, Acento",,Caribbean,3,18.232326183657, -69.057353261657
20,51575,US-Mexico Border,11-Mar-19,2019,Mar,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057701900000, -112.143021500000
21,51532,Mediterranean,10-Mar-19,2019,Mar,1.0,,1,,1.0,,1.0,Presumed drowning,"Body found near Vatera, Lesvos, Greece",Hellenic Coast Guard via IOM Greece,Eastern Mediterranean,Uncategorized,5,39.014895057350, 26.180971588785
22,51533,Mediterranean,10-Mar-19,2019,Mar,1.0,,1,,1.0,,,Presumed drowning,"Body found near Agios Theodoros, Lesvos, Greece",Hellenic Coast Guard via IOM Greece,Eastern Mediterranean,Uncategorized,5,39.270273892269, 26.398878350778
23,51531,Mediterranean,9-Mar-19,2019,Mar,1.0,,1,,,,,Presumed drowning,"Body recovered in Almaya, Libya",IOM Libya,Central Mediterranean,Uncategorized,4,32.817109118023, 12.877722158656
24,51528,Europe,8-Mar-19,2019,Mar,1.0,,1,1.0,,1.0,,Electrocution on railway,"Train tracks near Šid, Serbia",Šid Border Police via IOM Serbia,Western Balkans,Southern Europe,5,45.122436600000, 19.220929400000
25,51529,Europe,8-Mar-19,2019,Mar,1.0,,1,,,1.0,,Suffocation,"Body found inside truck in Port of Calais, Pas-de-Calais, France","Le Parisien, Ouest-France, La Voix du Nord",,Western Europe,3,50.971622839886, 1.858666925932
26,51530,Mediterranean,8-Mar-19,2019,Mar,,2.0,2,,,,,Presumed drowning,Unspecified location off the coast of Libya,IOM Libya,Central Mediterranean,Uncategorized,4,32.830914360483, 12.781146358787
27,51521,Mediterranean,7-Mar-19,2019,Mar,3.0,,3,9.0,,3.0,2.0,Drowning,"Off the coast of Samos, Greece","IOM Greece, AP",Eastern Mediterranean,Uncategorized,4,37.765329835283, 27.098161931733
28,51526,Central America,7-Mar-19,2019,Mar,1.0,,1,,,1.0,,Cardiac arrest,"Unspecified location in the Darién Gap, Panama, near border with Colombia",Cubanos por el Mundo,,Central America,1,8.642780272046, -77.529404492532
29,51527,Central America,7-Mar-19,2019,Mar,24.0,,24,33.0,11.0,13.0,5.0,Vehicle Accident,"Ixtapa – Soyaló Highway, near Bomboná river, in Soyaló municipality, Chiapas, Mexico","Ministerio de Asuntos Exteriores de Guatemala, La Jornada",,Central America,5,16.879242771128, -92.916367624797
30,51574,US-Mexico Border,6-Mar-19,2019,Mar,1.0,,1,,1.0,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057499000000, -111.666072500000
31,51520,South America,5-Mar-19,2019,Mar,1.0,,1,,,1.0,1.0,Pneumonia,"Hospital do Pronto Socorro Municipal, Belém, State of Pará, Brazil",O Liberal,,South America,3,-1.439687700000, -48.480863500000
32,51513,Central America,3-Mar-19,2019,Mar,2.0,,2,8.0,,,,Shot,"Comitán de Domínguez-Tuxtla Gutiérrez Highway, near San Francisco Pujiltic town, in Venustiano Carranza municipality, Chiapas, Mexico","Fiscalía General del Estado de Chiapas, Contraste, El Diario de Coahuila",,Central America,5,16.345883871687, -92.595581925608
33,51514,Mediterranean,3-Mar-19,2019,Mar,1.0,,1,,,1.0,,Presumed drowning,"Body recovered in the Gibraltar Strait, off the coast of Ceuta, Spain","Europa Press, El Faro de Ceuta Europa ",Western Mediterranean,Uncategorized,3,35.907899477687, -5.347827507452
34,51525,Central America,3-Mar-19,2019,Mar,1.0,,1,,,1.0,,Fall from train,"Train tracks between Puente Naranjas and Colonia Las Terceras, San Luis Potosí, Mexico","Pulso, San Luis Hoy",,Central America,3,22.172888700000, -100.967452800000
35,51583,Mediterranean,28-Feb-19,2019,Feb,2.0,4.0,6,,1.0,1.0,,Drowning,"Unspecified location off the coast of Tangiers, Morocco",Alarm Phone,Western Mediterranean,Uncategorized,5,35.856284991833, -5.854248522049
36,51573,US-Mexico Border,27-Feb-19,2019,Feb,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057701900000, -112.143021500000
37,51571,US-Mexico Border,26-Feb-19,2019,Feb,1.0,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.057701900000, -112.143021500000
38,51572,US-Mexico Border,26-Feb-19,2019,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,,Northern America,5,32.291122000000, -111.377669100000
39,51509,Mediterranean,25-Feb-19,2019,Feb,1.0,,1,,,,,Presumed drowning,"Body recovered in Azzawya, Libya",IOM Libya,Central Mediterranean,Uncategorized,4,32.799680261076, 12.740310887952
40,51510,US-Mexico Border,25-Feb-19,2019,Feb,1.0,,1,,,1.0,,Presumed drowning,"Canal in Comanche Ranch, near Eagle Pass, Maverick County, Texas, USA",SuperChannel 12,,Northern America,3,28.620958685162, -100.160775037960
